transaction_id,user_id,amount,transaction_type,device_type,location,time_of_day,transaction_hour,is_international,previous_transactions,failed_transactions,account_age_days,is_fraud
T00107,U529,45283.38,online,desktop,Singapore,night,0,1,45,1,433,0
T00108,U367,179297.31,ATM,mobile,Delhi,afternoon,12,0,96,8,534,1
T00109,U659,165758.94,POS,mobile,Pune,afternoon,16,0,108,5,78,1
T00110,U636,265967.36,ATM,tablet,Pune,afternoon,12,0,33,7,564,1
T00111,U418,76711.53,ATM,desktop,Delhi,morning,10,0,111,4,571,0
T00112,U738,281291.58,online,desktop,Bangalore,night,0,0,44,4,850,0
T00113,U585,162350.71,transfer,mobile,Bangalore,night,0,0,55,10,452,1
T00114,U710,145835.3,transfer,desktop,Kolkata,afternoon,14,0,186,8,964,1
T00115,U365,7290.17,transfer,mobile,Singapore,night,2,1,135,4,181,1
T00116,U512,222791.18,ATM,desktop,Chennai,afternoon,14,0,64,1,728,0
T00117,U830,74558.33,transfer,tablet,Chennai,night,2,0,173,5,260,1
T00118,U182,176578.36,transfer,tablet,Delhi,night,4,0,179,3,341,0
T00119,U289,134532.35,online,desktop,New York,evening,18,1,104,3,562,1
T00120,U636,37054.63,POS,tablet,New York,night,1,1,148,1,99,0
T00121,U674,1559.8,ATM,tablet,Bangalore,morning,7,0,153,7,334,0
T00122,U564,213941.6,online,tablet,Singapore,morning,5,1,58,6,981,1
T00123,U606,288905.28,POS,mobile,Pune,night,23,0,170,6,282,1
T00124,U948,214764.09,POS,mobile,New York,night,23,1,132,5,964,1
T00125,U861,53221.63,ATM,desktop,Kolkata,morning,8,0,177,6,647,1
T00126,U649,287925.47,POS,desktop,Kolkata,morning,6,0,40,1,86,1
T00127,U278,198358.65,ATM,tablet,Singapore,evening,18,1,111,7,62,1
T00128,U823,184222.1,ATM,tablet,Chennai,evening,20,0,74,0,832,0
T00129,U556,57241.04,online,mobile,London,night,23,1,2,6,601,1
T00130,U954,114569.81,POS,tablet,London,evening,18,1,100,2,228,1
T00131,U865,125283.8,ATM,desktop,New York,morning,7,1,69,10,577,1
T00132,U627,24673.1,online,mobile,Bangalore,night,21,0,10,10,585,0
T00133,U942,297879.67,POS,desktop,Dubai,afternoon,14,1,89,0,272,1
T00134,U433,175406.48,ATM,desktop,Bangalore,evening,17,0,162,0,607,0
T00135,U596,89918.29,online,tablet,Pune,night,1,0,31,9,76,1
T00136,U731,84267.78,POS,mobile,Bangalore,morning,8,0,107,9,780,1
T00137,U885,108158.55,transfer,mobile,Kolkata,night,3,0,178,10,867,1
T00138,U849,111027.3,ATM,tablet,Bangalore,evening,19,0,68,2,273,0
T00139,U154,191029.11,ATM,tablet,Chennai,morning,5,0,186,0,341,0
T00140,U211,71195.17,online,desktop,Singapore,night,3,1,120,10,380,1
T00141,U217,89804.22,transfer,mobile,Singapore,evening,17,1,37,3,343,0
T00142,U110,148163.85,transfer,desktop,Mumbai,morning,7,0,175,10,343,1
T00143,U829,137878.95,online,mobile,Dubai,night,22,1,189,10,79,1
T00144,U475,39383.37,transfer,desktop,London,morning,7,1,187,7,487,0
T00145,U951,133500.16,ATM,desktop,Dubai,afternoon,15,1,59,5,843,1
T00146,U301,67387.77,ATM,mobile,Dubai,morning,7,1,16,6,413,1
T00147,U126,8404.48,ATM,tablet,Dubai,night,21,1,30,5,967,0
T00148,U879,65682.14,transfer,desktop,Mumbai,morning,8,0,169,9,75,1
T00149,U871,131083.4,ATM,tablet,Kolkata,evening,19,0,107,3,880,0
T00150,U798,179962.33,ATM,mobile,Dubai,evening,17,1,105,3,770,1
T00151,U713,66595.26,transfer,desktop,Bangalore,night,3,0,140,10,708,1
T00152,U224,72327.14,online,desktop,Kolkata,afternoon,12,0,133,3,176,0
T00153,U558,32942.6,online,mobile,Dubai,afternoon,13,1,72,7,616,0
T00154,U483,102752.82,transfer,tablet,New York,afternoon,16,1,192,10,790,1
T00155,U430,236117.73,online,desktop,Bangalore,night,0,0,134,0,382,0
T00156,U232,298554.95,online,tablet,London,evening,20,1,89,1,442,1
T00157,U536,9808.85,transfer,tablet,Chennai,night,1,0,164,8,578,1
T00158,U823,219044.41,online,desktop,London,morning,5,1,118,7,913,1
T00159,U425,35708.37,transfer,mobile,London,afternoon,12,1,23,9,703,0
T00160,U815,227667.61,transfer,desktop,Pune,night,3,0,183,4,921,1
T00161,U271,248086.73,transfer,desktop,Delhi,evening,18,0,49,9,76,1
T00162,U904,188371.84,online,mobile,Kolkata,morning,11,0,64,3,438,0
T00163,U993,214631.78,ATM,mobile,London,morning,11,1,188,9,860,1
T00164,U907,252916.23,online,tablet,New York,afternoon,12,1,76,3,157,1
T00165,U581,32951.82,POS,desktop,Chennai,night,23,0,23,2,684,0
T00166,U703,92147.1,transfer,tablet,Mumbai,afternoon,15,0,71,2,255,0
T00167,U898,22477.79,transfer,tablet,Mumbai,night,0,0,21,1,966,1
T00168,U727,223376.02,ATM,desktop,London,afternoon,16,1,11,1,602,1
T00169,U366,77809.3,POS,tablet,Bangalore,night,22,0,149,5,475,0
T00170,U155,151439.27,POS,mobile,London,afternoon,14,1,189,9,850,1
T00171,U332,31241.54,online,desktop,Mumbai,night,3,0,113,9,592,0
T00172,U808,16603.87,transfer,tablet,Bangalore,morning,5,0,189,2,699,0
T00173,U335,198151.27,ATM,desktop,Chennai,morning,10,0,5,10,422,1
T00174,U474,226404.55,transfer,tablet,Pune,evening,20,0,157,5,732,0
T00175,U842,167000.88,ATM,tablet,London,evening,20,1,158,6,927,1
T00176,U419,143367.97,online,tablet,New York,evening,20,1,140,8,972,1
T00177,U469,260026.14,online,mobile,Kolkata,morning,6,0,56,10,631,1
T00178,U737,82822.39,POS,mobile,Singapore,evening,17,1,33,0,919,0
T00179,U438,114601.34,online,mobile,Bangalore,evening,19,0,199,8,39,1
T00180,U424,84105.78,transfer,mobile,Delhi,morning,9,0,153,4,442,0
T00181,U409,1150.23,ATM,tablet,Bangalore,night,3,0,31,6,824,0
T00182,U206,114192.34,POS,tablet,Dubai,evening,18,1,145,2,508,1
T00183,U105,285110.85,online,tablet,Mumbai,night,22,0,186,3,848,0
T00184,U683,82028.45,transfer,mobile,Mumbai,night,4,0,131,8,955,1
T00185,U918,107743.46,transfer,mobile,New York,night,22,1,139,1,915,1
T00186,U644,284276.16,POS,tablet,Bangalore,night,3,0,57,6,570,1
T00187,U167,295475.85,POS,desktop,Mumbai,night,21,0,4,2,682,0
T00188,U552,264133.05,ATM,tablet,Dubai,afternoon,12,1,162,0,784,1
T00189,U803,287997.36,transfer,mobile,Dubai,morning,5,1,192,6,667,1
T00190,U758,293928.63,ATM,mobile,Dubai,night,0,1,61,6,296,1
T00191,U450,231178.06,POS,mobile,Dubai,afternoon,13,1,140,10,815,1
T00192,U538,4387.67,online,mobile,Mumbai,night,3,0,42,8,873,0
T00193,U411,20201.64,online,tablet,Singapore,evening,18,1,10,3,642,0
T00194,U151,149185.26,transfer,desktop,Chennai,evening,20,0,127,1,738,0
T00195,U980,241960.74,transfer,tablet,Pune,evening,18,0,70,5,215,0
T00196,U683,165780.93,online,desktop,Mumbai,night,1,0,34,1,94,0
T00197,U691,224456.56,ATM,mobile,Mumbai,evening,20,0,1,3,926,0
T00198,U454,288326.2,ATM,mobile,Dubai,evening,19,1,112,8,445,1
T00199,U333,186405.08,POS,tablet,Kolkata,night,2,0,32,6,509,1
T00200,U228,129336.51,transfer,mobile,Delhi,afternoon,15,0,180,4,67,1
T00201,U708,186367.74,ATM,tablet,London,morning,11,1,172,4,192,1
T00202,U790,261082.54,POS,mobile,Delhi,morning,6,0,66,8,371,1
T00203,U622,208707.5,transfer,tablet,Chennai,afternoon,12,0,145,9,263,1
T00204,U229,204185.86,online,tablet,Mumbai,afternoon,12,0,61,9,483,1
T00205,U591,241667.84,ATM,tablet,Bangalore,morning,10,0,133,9,815,1
T00206,U503,112512.35,POS,mobile,Bangalore,night,3,0,48,3,934,0
T00207,U446,33915.69,POS,desktop,Mumbai,afternoon,13,0,18,1,917,0
T00208,U277,173649.11,online,mobile,London,evening,18,1,147,0,317,1
T00209,U335,198013.42,transfer,desktop,Pune,night,21,0,143,6,682,1
T00210,U651,8704.95,ATM,tablet,Bangalore,night,2,0,10,5,950,0
T00211,U781,169226.14,online,desktop,Pune,evening,19,0,84,2,468,0
T00212,U510,246340.71,POS,mobile,Chennai,afternoon,13,0,5,7,826,1
T00213,U708,10979.33,online,mobile,Dubai,morning,11,1,45,9,902,0
T00214,U535,190461.04,ATM,tablet,Chennai,morning,10,0,135,0,214,0
T00215,U242,104031.45,POS,desktop,London,evening,19,1,38,4,732,1
T00216,U455,297895.54,online,desktop,Bangalore,afternoon,12,0,27,3,650,0
T00217,U239,166957.29,ATM,desktop,Singapore,afternoon,16,1,6,2,345,1
T00218,U625,229903.87,ATM,desktop,Mumbai,morning,9,0,176,2,83,1
T00219,U439,148758.38,transfer,desktop,Mumbai,morning,6,0,46,7,444,1
T00220,U221,172327.31,ATM,desktop,Pune,night,0,0,69,6,220,1
T00221,U457,209201.91,online,desktop,London,morning,7,1,81,4,434,1
T00222,U754,63146.61,transfer,tablet,London,morning,8,1,149,2,707,0
T00223,U712,68984.78,POS,mobile,Singapore,morning,7,1,90,1,672,0
T00224,U195,69947.81,online,mobile,Delhi,afternoon,16,0,151,6,788,1
T00225,U338,89872.98,POS,tablet,London,evening,18,1,25,4,600,0
T00226,U591,199575.77,ATM,mobile,Delhi,afternoon,16,0,123,7,754,1
T00227,U318,285737.82,online,desktop,London,afternoon,16,1,35,9,700,1
T00228,U542,182666.33,POS,mobile,Bangalore,night,21,0,191,3,37,1
T00229,U845,286876.69,online,mobile,Dubai,morning,5,1,83,10,757,1
T00230,U794,139058.38,transfer,desktop,Singapore,morning,10,1,70,3,273,1
T00231,U496,175966.29,transfer,desktop,Dubai,afternoon,13,1,99,8,294,1
T00232,U505,28893.27,transfer,tablet,Pune,afternoon,14,0,19,0,81,0
T00233,U290,115115.16,POS,desktop,Mumbai,morning,10,0,74,0,331,0
T00234,U948,147987.99,transfer,desktop,Dubai,night,4,1,67,2,381,1
T00235,U794,171018.04,online,mobile,Pune,afternoon,13,0,74,3,688,0
T00236,U863,257047.94,POS,tablet,Chennai,night,4,0,132,9,897,1
T00237,U479,117709.38,transfer,desktop,Chennai,night,22,0,163,3,865,0
T00238,U346,182169.72,ATM,mobile,New York,evening,19,1,108,5,132,1
T00239,U536,14566.18,ATM,desktop,Delhi,evening,19,0,44,0,744,0
T00240,U320,112337.47,ATM,tablet,London,afternoon,16,1,113,6,49,1
T00241,U498,117859.71,transfer,mobile,Singapore,morning,5,1,3,6,547,1
T00242,U796,255672.97,POS,desktop,Dubai,afternoon,14,1,55,9,41,1
T00243,U612,262402.39,ATM,mobile,Dubai,night,21,1,194,6,432,1
T00244,U611,132833.16,online,tablet,Pune,morning,9,0,94,8,886,1
T00245,U573,48100.56,POS,mobile,Dubai,morning,10,1,119,4,754,0
T00246,U393,234269.21,transfer,tablet,Singapore,night,21,1,1,10,936,1
T00247,U884,146451.87,transfer,desktop,Dubai,morning,5,1,66,10,335,1
T00248,U319,245828.91,transfer,tablet,Bangalore,evening,18,0,142,9,337,1
T00249,U314,168605.98,online,tablet,Pune,evening,17,0,174,10,98,1
T00250,U269,105745.46,online,desktop,Delhi,morning,7,0,193,8,385,1
T00251,U506,77711.28,transfer,desktop,Mumbai,afternoon,12,0,187,3,996,0
T00252,U271,171011.45,transfer,tablet,Pune,night,23,0,30,1,444,0
T00253,U167,221463.98,POS,mobile,New York,night,4,1,144,3,452,1
T00254,U137,181391.53,POS,desktop,Chennai,night,1,0,147,5,73,1
T00255,U179,284228.76,online,mobile,Kolkata,evening,17,0,116,0,920,0
T00256,U806,192830.54,POS,mobile,New York,morning,8,1,111,0,97,1
T00257,U860,108455.11,transfer,tablet,Pune,night,23,0,108,6,424,1
T00258,U786,95297.13,POS,mobile,London,afternoon,12,1,86,1,516,0
T00259,U239,271663.96,ATM,tablet,New York,night,23,1,3,9,858,1
T00260,U865,57533.37,ATM,desktop,London,night,1,1,70,2,298,0
T00261,U181,131057.96,POS,tablet,Delhi,night,0,0,124,1,386,0
T00262,U411,285004.15,online,mobile,London,night,3,1,2,10,619,1
T00263,U646,90473.27,transfer,desktop,Kolkata,night,0,0,46,1,348,1
T00264,U945,207928.89,online,tablet,Dubai,night,2,1,181,5,331,1
T00265,U533,180904.61,POS,mobile,London,night,23,1,3,1,930,1
T00266,U687,157069.12,ATM,mobile,Kolkata,morning,11,0,186,1,972,0
T00267,U126,177545.91,POS,tablet,Dubai,night,0,1,19,2,91,1
T00268,U676,111175.76,online,desktop,Kolkata,night,1,0,160,8,215,1
T00269,U463,53953.71,POS,mobile,London,afternoon,16,1,30,7,509,1
T00270,U512,26554.56,transfer,mobile,Kolkata,night,21,0,141,2,593,0
T00271,U956,81729.69,online,mobile,New York,morning,5,1,7,5,723,0
T00272,U135,97949.15,ATM,tablet,Dubai,evening,20,1,109,4,707,0
T00273,U125,117798.46,online,mobile,Chennai,afternoon,15,0,26,10,151,1
T00274,U419,290421.86,POS,mobile,Mumbai,evening,17,0,45,2,676,0
T00275,U647,209911.17,POS,tablet,Bangalore,morning,5,0,159,5,318,0
T00276,U758,199053.08,transfer,desktop,Kolkata,morning,6,0,172,4,330,0
T00277,U103,113168.58,online,tablet,London,night,1,1,150,7,77,1
T00278,U884,265229.49,POS,mobile,Bangalore,morning,10,0,79,9,675,1
T00279,U983,228518.14,transfer,desktop,Kolkata,night,1,0,55,9,926,1
T00280,U565,248054.15,transfer,mobile,Chennai,afternoon,14,0,82,6,723,1
T00281,U232,69684.55,POS,mobile,Bangalore,morning,8,0,95,1,295,0
T00282,U869,99519.21,ATM,mobile,Bangalore,night,22,0,7,4,854,0
T00283,U949,230127.38,ATM,desktop,London,evening,17,1,49,6,541,1
T00284,U477,157561.19,online,mobile,Kolkata,evening,20,0,66,1,501,0
T00285,U578,94610.44,transfer,desktop,London,night,4,1,88,10,718,1
T00286,U210,91233.07,POS,desktop,Kolkata,afternoon,16,0,45,2,170,0
T00287,U195,232204.77,transfer,desktop,New York,night,2,1,147,9,677,1
T00288,U497,85794.31,transfer,desktop,Kolkata,morning,6,0,43,6,190,1
T00289,U287,172839.87,transfer,desktop,Chennai,evening,19,0,157,10,500,1
T00290,U817,15306.63,ATM,tablet,Chennai,afternoon,13,0,99,3,703,0
T00291,U997,34284.45,online,tablet,Kolkata,afternoon,14,0,73,0,295,0
T00292,U925,48552.27,transfer,desktop,London,morning,9,1,166,9,242,0
T00293,U935,209669.88,POS,mobile,Bangalore,evening,20,0,109,0,577,0
T00294,U795,168102.43,ATM,tablet,Bangalore,morning,9,0,15,10,563,1
T00295,U890,230399.25,online,tablet,Dubai,afternoon,16,1,34,0,464,1
T00296,U340,114665.94,ATM,mobile,Chennai,afternoon,14,0,147,0,751,0
T00297,U676,234800.62,transfer,desktop,New York,night,0,1,162,0,901,1
T00298,U863,155985.72,online,tablet,Dubai,morning,7,1,4,7,51,1
T00299,U876,165087.75,ATM,mobile,Kolkata,morning,6,0,63,1,595,0
T00300,U150,136963.44,ATM,mobile,Dubai,night,21,1,151,8,745,1
T00301,U407,168430.19,transfer,desktop,Pune,night,23,0,12,2,327,0
T00302,U251,84244.94,ATM,desktop,Mumbai,night,2,0,144,7,715,1
T00303,U918,231737.02,POS,tablet,Singapore,afternoon,13,1,119,1,623,1
T00304,U723,71835.52,ATM,mobile,Kolkata,morning,5,0,97,7,473,1
T00305,U675,10570.31,ATM,mobile,Bangalore,morning,11,0,166,8,910,0
T00306,U572,46128.61,ATM,mobile,New York,night,4,1,14,5,163,0
T00307,U253,266139.99,online,desktop,Delhi,morning,10,0,104,5,32,1
T00308,U404,184653.39,online,desktop,Delhi,night,21,0,110,10,771,1
T00309,U206,249262.85,POS,tablet,Delhi,morning,6,0,14,5,188,0
T00310,U442,248151.76,POS,desktop,Singapore,morning,10,1,183,0,900,1
T00311,U731,58151.16,online,desktop,Kolkata,afternoon,12,0,3,5,176,0
T00312,U510,31193.63,POS,tablet,Kolkata,afternoon,16,0,43,4,963,0
T00313,U471,247612.88,online,desktop,Mumbai,afternoon,13,0,90,9,544,1
T00314,U426,264810.94,POS,mobile,Chennai,morning,8,0,197,2,322,0
T00315,U522,290670.86,transfer,mobile,Chennai,night,2,0,119,5,397,1
T00316,U198,145690.93,ATM,desktop,Kolkata,night,4,0,161,3,979,0
T00317,U673,92708.41,online,desktop,Dubai,morning,8,1,1,6,151,1
T00318,U232,194497.23,online,desktop,New York,afternoon,16,1,126,4,528,1
T00319,U867,212511.87,online,desktop,New York,afternoon,16,1,101,5,297,1
T00320,U478,242540.47,transfer,desktop,Bangalore,evening,19,0,169,10,485,1
T00321,U498,126557.36,transfer,mobile,New York,night,23,1,196,8,487,1
T00322,U880,189473.65,ATM,tablet,Chennai,afternoon,16,0,62,6,245,1
T00323,U604,86826.17,ATM,tablet,Delhi,night,2,0,27,0,85,1
T00324,U383,26657.95,ATM,tablet,Delhi,evening,20,0,126,9,137,0
T00325,U760,295503.63,ATM,tablet,London,afternoon,15,1,126,7,223,1
T00326,U428,189856.87,transfer,tablet,New York,night,0,1,179,1,423,1
T00327,U136,43349.39,transfer,desktop,Chennai,evening,20,0,45,2,463,0
T00328,U676,173361.15,online,mobile,London,afternoon,14,1,40,0,456,1
T00329,U655,211590.78,online,mobile,Bangalore,morning,10,0,55,3,168,0
T00330,U817,55722.24,online,desktop,Singapore,afternoon,12,1,115,8,698,1
T00331,U399,245127.41,online,mobile,Mumbai,morning,7,0,130,7,800,1
T00332,U174,16283.37,ATM,desktop,Pune,afternoon,12,0,41,7,212,0
T00333,U722,159183.31,transfer,desktop,New York,morning,7,1,153,7,277,1
T00334,U502,24518.71,online,tablet,Dubai,morning,8,1,114,4,456,0
T00335,U743,146779.22,POS,desktop,Delhi,afternoon,12,0,164,5,515,0
T00336,U584,217039.42,online,mobile,Dubai,evening,18,1,82,10,872,1
T00337,U876,45907.12,ATM,mobile,Kolkata,night,4,0,148,9,957,0
T00338,U146,189662.01,ATM,mobile,Singapore,afternoon,15,1,183,4,389,1
T00339,U688,5246.66,POS,tablet,Mumbai,morning,10,0,106,9,92,0
T00340,U564,91083.96,transfer,desktop,Mumbai,night,3,0,152,3,975,1
T00341,U263,139674.14,ATM,mobile,Dubai,morning,5,1,118,0,824,1
T00342,U222,92754.93,ATM,mobile,London,afternoon,12,1,119,1,600,0
T00343,U738,93173.82,ATM,mobile,Dubai,evening,18,1,49,4,150,0
T00344,U319,16174.65,transfer,mobile,Singapore,evening,18,1,152,8,844,0
T00345,U428,35800.89,POS,tablet,London,morning,11,1,183,6,837,0
T00346,U362,278137.24,ATM,desktop,Mumbai,morning,5,0,6,2,595,0
T00347,U818,17470.97,online,desktop,Pune,evening,20,0,74,0,399,0
T00348,U459,10194.82,online,mobile,Pune,evening,20,0,156,1,282,0
T00349,U373,18724.5,online,tablet,Chennai,afternoon,15,0,168,7,921,0
T00350,U543,77670.12,transfer,desktop,New York,night,4,1,95,1,682,0
T00351,U837,211093.04,ATM,desktop,Mumbai,night,2,0,87,3,279,0
T00352,U725,87778.33,ATM,tablet,London,morning,9,1,136,7,945,1
T00353,U670,176851.7,ATM,mobile,Pune,night,21,0,19,8,679,1
T00354,U445,283392.17,transfer,tablet,Dubai,afternoon,14,1,5,5,754,1
